id;designation;expense_amount;credits_already_open;credits_open
1;si bien que timide;membre de l’équipe;glouglou par buter;hi
2;après au-devant;ding en dépit de;témoigner glouglou;assassiner conseil d’administration
3;conseil municipal de crainte que en faveur de;altruiste;apte dorénavant;vlan cadre de sorte que
4;prout sauf à membre de l’équipe;membre de l’équipe afin que;hi corriger;hé bè alors que
5;en plus de presque;plouf avouer clientèle;avant de;impromptu membre titulaire inspecter
6;au dépens de;rose sitôt que de peur que;à l'exception de vouh exprimer;hystérique jamais
7;au moyen de innombrable tsoin-tsoin;psitt areu areu tellement;à raison de chier sauvage;tendre
8;couper concurrence;sous couleur de;sans doute;commis de cuisine touriste
9;étant donné que police personnel;photographier;comme ding intervenir;touchant mélancolique
10;pour;quasi;énorme hypocrite saluer;ferme
