id;category;code;designation;account_div;code_end;paragraph
1;OPERATING_RECIPE;joliment carrément blablabla;passer lancer trop peu;turquoise;alentour bof;certainement
2;INVESTMENT_EXPENSE;altruiste;relire;large;spécialiste fade cuicui;oh personnel professionnel
3;OPERATING_EXPENSE;cuicui tellement;groin groin hé de manière à;chef de cuisine;minuscule ça;passablement
4;OPERATING_EXPENSE;tellement autour de;sombre quelque tard;si bien que quand;rassurer;guide
5;INVESTMENT_RECIPE;triathlète;à bas de;diététiste;davantage;avant que même si en dehors de
6;OPERATING_RECIPE;appuyer remuer;gai;comme juriste pauvre;jadis rédaction au cas où;spécialiste cot cot
7;OPERATING_EXPENSE;comparer cocorico jadis;solitaire si bien que;éviter oublier loin de;pour que;volontiers en decà de
8;OPERATING_RECIPE;derrière à partir de dans la mesure où;dense;parlementaire tellement passablement;brusque;prout partenaire
9;OPERATING_EXPENSE;accepter quelque espérer;émouvoir;en faveur de conférer vouh;par suite de prévaloir concernant;clientèle faire
10;INVESTMENT_RECIPE;ouf;partout super à raison de;bien que approximativement placide;partenaire;lectorat dès que
