id;name_of_the_ministry;order_number;order_date;total_amount_without_tax;tax_rate;total_tax_amount;prepaid_tax_amount;total_amount_with_tax;auth_expenditure_number;allocated_credits;committed_expenditures;available_balance
1;équipe de recherche à condition que parlementaire;même personnel sur;2025-03-01T20:07:39;26327.54;24438.44;9406.64;32540.49;29865.43;commis;24679.33;14764.61;13344.91
2;arrière;finir;2025-03-01T17:53:27;25706.58;24436.66;1683.8;5952.74;22149.3;hors de alors;28804.86;15809.62;18247.62
3;après-demain au point que à l'insu de;quoique tant;2025-03-01T21:20:24;510.19;12605.13;18595.29;846.27;1390.45;meuh;23599.57;1361.39;10236.14
4;athlète;casser;2025-03-02T08:49:17;16626.9;15840.4;23888.02;20896.02;28368.94;sauvage;29565.09;31520.31;23463.15
5;tant;équipe de recherche;2025-03-02T06:05:29;32029.53;30566.62;30355.4;27104.03;14846.56;en plus de camarade juger;177.89;28648.43;29887.57
6;compenser drôlement;de façon à ce que;2025-03-02T04:00:52;32506.92;13087.06;11829.53;14017.48;22339.36;loin sans aïe;23831.11;23869.99;13340.37
7;pff;tant coac coac spécialiste;2025-03-02T08:36:08;13470.6;24751.02;18588.48;32474.09;13722.34;bzzz avant circuler;841.47;606.27;29408.5
8;dès que frapper bof;miam sombre;2025-03-02T09:27:56;6950.96;8164.94;12494.06;25488.39;23923.38;certainement;1591.73;32383.1;1848.45
9;bien que spécialiste;au moyen de vide snob;2025-03-02T13:55:49;29433.39;816.98;24954.5;116.12;31381.49;appeler si toc-toc;26721.79;12328.47;19699.38
10;miam oh;passablement;2025-03-02T05:28:23;26521.02;1369.58;11963.02;21152.31;12047.12;avex diplomate jamais;7303.94;4900.44;22629.71
